item_id;item;defom;exsz;schpl;x_mm;y_mm;z_mm;pzxsc;kgxsc;x_sc_mm;y_sc_mm;z_sc_mm;scxfrd;frdxplt;x_frd_mm;y_frd_mm;z_frd_mm;kgxfrd;cdsup;scxpl;z_cub_mm;x_pal_mm;y_pal_mm;kgxplt;z_pal_mm
23240f8293 N 048;23240f8293;30X30;0;N 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
23240f8293 S 048;23240f8293;30X30;0;S 048;300;300;8,6;12;20,1;300;300;103,2;2;24;300;300;237,36;40,2;F;48;611;800;1200;964,8;134
a9245b804a E 048;a9245b804a;30X30;0;E 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
a9245b804a S 048;a9245b804a;30X30;0;S 048;300;300;8,6;12;20,1;300;300;103,2;2;24;300;300;237,36;40,2;F;48;611;800;1200;964,8;134
5274764a88 E 048;5274764a88;30X30;0;E 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
5274764a88 S 048;5274764a88;30X30;0;S 048;300;300;8,6;12;20,1;300;300;103,2;2;24;300;300;237,36;40,2;F;48;611;800;1200;964,8;134
840d93a36b N 048;840d93a36b;30X30;0;N 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
840d93a36b S 048;840d93a36b;30X30;0;S 048;300;300;8,6;12;20,1;300;300;103,2;2;24;300;300;237,36;40,2;F;48;611;800;1200;964,8;134
ddd820cb3b E 048;ddd820cb3b;30X30;0;E 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
ddd820cb3b N 048;ddd820cb3b;30X30;0;N 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
ddd820cb3b S 048;ddd820cb3b;30X30;0;S 048;300;300;8,6;12;20,1;300;300;103,2;2;24;300;300;237,36;40,2;F;48;611;800;1200;964,8;134
532b14a796 E 048;532b14a796;30X30;0;E 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
532b14a796 N 048;532b14a796;30X30;0;N 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
532b14a796 S 048;532b14a796;30X30;0;S 048;300;300;8,6;12;20,1;300;300;103,2;2;24;300;300;237,36;40,2;F;48;616;800;1200;964,8;134
16c8c3dd67 E 048;16c8c3dd67;30X30;0;E 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
16c8c3dd67 N 048;16c8c3dd67;30X30;0;N 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
16c8c3dd67 S 048;16c8c3dd67;30X30;0;S 048;300;300;8,6;12;20,1;300;300;103,2;2;24;300;300;237,36;40,2;F;48;616;800;1200;964,8;134
9671806d79 E 048;9671806d79;30X30;0;E 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
9671806d79 N 048;9671806d79;30X30;0;N 048;300;300;8,6;12;20,1;300;300;103,2;0;inf;300;300;0;0;9;48;-134;800;1200;964,8;134
9671806d79 S 048;9671806d79;30X30;0;S 048;300;300;8,6;12;20,1;300;300;103,2;2;24;300;300;237,36;40,2;F;48;616;800;1200;964,8;134
6ead62d3a0 E 045;6ead62d3a0;20X20;0;E 045;200;200;12;20;22;200;200;240;0;inf;200;200;0;0;9;45;-134;800;1200;990;134
6ead62d3a0 N 045;6ead62d3a0;20X20;0;N 045;200;200;12;20;22;200;200;240;0;inf;200;200;0;0;9;45;-134;800;1200;990;134
6ead62d3a0 S 045;6ead62d3a0;20X20;0;S 045;200;200;12;20;22;200;200;240;1;45;200;200;276;22;F;45;611;800;1200;990;134
087a3c428a S 040;087a3c428a;30X60;0;S 040;300;600;12;5;23;300;600;60;2;20;300;600;138;46;F;40;601;800;1200;920;134
76afe29b7f E 040;76afe29b7f;30X60;0;E 040;300;600;10;6;25,46;300;600;60;0;inf;300;600;0;0;9;40;-134;800;1200;1018,4;134
76afe29b7f N 040;76afe29b7f;30X60;0;N 040;300;600;10;6;25,46;300;600;60;0;inf;300;600;0;0;9;40;-134;800;1200;1018,4;134
76afe29b7f S 040;76afe29b7f;30X60;0;S 040;300;600;10;6;25,46;300;600;60;2;20;300;600;138;50,92;F;40;601;800;1200;1018,4;134
da5dfa2b91 E 036;da5dfa2b91;60X60;0;E 036;600;600;9,3;3;23,89;600;600;27,9;0;inf;600;600;0;0;9;36;-134;800;1200;860,04;134
da5dfa2b91 N 040;da5dfa2b91;60X60;0;N 040;600;600;9,3;3;23,89;600;600;27,9;0;inf;600;600;0;0;9;40;-134;800;1200;955,6;134
da5dfa2b91 S 040;da5dfa2b91;60X60;0;S 040;600;600;9,3;3;23,89;600;600;27,9;3;13,33333333;600;600;96,255;71,67;F;40;608;800;1200;955,6;134
9cf1a48a13 S 040;9cf1a48a13;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
2035327250 E 036;2035327250;22.5X90;0;E 036;225;900;9,5;6;26,73;225;900;57;0;inf;225;900;0;0;B;36;441;1010;1200;962,28;134
2035327250 N 036;2035327250;22.5X90;0;N 036;225;900;9,5;6;26,73;225;900;57;0;inf;225;900;0;0;B;36;441;1010;1200;962,28;134
